epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,5325.29,1.16143,0.78774,1.02838,0.81323,0.83079,0.85681,0.51783,1.41826,0.76409,1.16342,0.0042184,0.0042184,0.0042184
148,5361.3,1.14481,0.77601,1.02078,0.81518,0.82897,0.85717,0.51695,1.41936,0.76367,1.16505,0.0041788,0.0041788,0.0041788
149,5396.91,1.14562,0.78634,1.02086,0.8161,0.82862,0.85945,0.51854,1.41943,0.76534,1.16518,0.0041392,0.0041392,0.0041392
150,5432.92,1.15207,0.78901,1.02612,0.81306,0.82484,0.8568,0.51706,1.42238,0.76587,1.16646,0.0040996,0.0040996,0.0040996
151,5468.91,1.14413,0.76984,1.02035,0.81354,0.82583,0.85596,0.51702,1.42105,0.76508,1.16606,0.00406,0.00406,0.00406
152,5504.91,1.15071,0.77723,1.0311,0.81243,0.83584,0.85879,0.51719,1.42006,0.76292,1.16648,0.0040204,0.0040204,0.0040204
153,5541.32,1.14324,0.77961,1.01523,0.81477,0.83879,0.85994,0.51655,1.41943,0.76193,1.16745,0.0039808,0.0039808,0.0039808
154,5577.91,1.15998,0.80139,1.02789,0.8213,0.82787,0.85951,0.51697,1.41865,0.76252,1.16771,0.0039412,0.0039412,0.0039412
155,5614.04,1.15124,0.77755,1.02743,0.82591,0.82451,0.85976,0.51783,1.41787,0.76047,1.16695,0.0039016,0.0039016,0.0039016
156,5650.3,1.1538,0.76785,1.02829,0.82459,0.82241,0.85941,0.51796,1.41487,0.75685,1.1656,0.003862,0.003862,0.003862
157,5686.5,1.14892,0.7748,1.02887,0.82528,0.82295,0.8587,0.51887,1.41625,0.75952,1.1665,0.0038224,0.0038224,0.0038224
158,5722.82,1.14903,0.77162,1.02919,0.82145,0.82876,0.85903,0.51779,1.41756,0.75983,1.16646,0.0037828,0.0037828,0.0037828
159,5758.9,1.12678,0.76636,1.0182,0.82029,0.83024,0.85889,0.51888,1.41657,0.75872,1.16677,0.0037432,0.0037432,0.0037432
160,5795.09,1.13726,0.76078,1.01995,0.81915,0.83058,0.86007,0.51967,1.41636,0.75857,1.16668,0.0037036,0.0037036,0.0037036
161,5831.4,1.15725,0.78462,1.02377,0.82237,0.82455,0.86059,0.52057,1.41421,0.75712,1.16492,0.003664,0.003664,0.003664
162,5867.74,1.1526,0.77264,1.02494,0.81679,0.82682,0.85932,0.52009,1.41332,0.75573,1.16471,0.0036244,0.0036244,0.0036244
163,5904.04,1.14903,0.78273,1.02936,0.82447,0.82163,0.85902,0.51995,1.41128,0.75507,1.16362,0.0035848,0.0035848,0.0035848
164,5940.09,1.13317,0.7643,1.01296,0.82597,0.82379,0.85818,0.519,1.41169,0.75464,1.16418,0.0035452,0.0035452,0.0035452
165,5976.36,1.12804,0.74803,1.01269,0.81772,0.83061,0.85808,0.51945,1.41058,0.7524,1.16401,0.0035056,0.0035056,0.0035056
166,6012.11,1.15084,0.77367,1.0266,0.82007,0.8268,0.8585,0.51934,1.41038,0.75285,1.16466,0.003466,0.003466,0.003466
167,6048.12,1.12186,0.75657,1.01423,0.81288,0.83049,0.85693,0.52014,1.40995,0.75149,1.16493,0.0034264,0.0034264,0.0034264
168,6083.89,1.13062,0.76507,1.01645,0.80457,0.83443,0.85796,0.51916,1.40803,0.74996,1.16423,0.0033868,0.0033868,0.0033868
169,6120.27,1.13307,0.76286,1.01899,0.82199,0.82199,0.85792,0.51885,1.40967,0.7503,1.1648,0.0033472,0.0033472,0.0033472
