epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
152,15828.2,0.98228,0.47717,0.15203,0.87029,0.87432,0.87231,0.43965,0.58077,0.45905,0.10093,0.0025255,0.0025255,0.0025255
153,15927.9,0.76811,0.46419,0.10384,0.86896,0.8695,0.86936,0.42637,0.59593,0.46071,0.1023,0.002476,0.002476,0.002476
154,16028,1.1097,0.44526,0.16505,0.86881,0.87054,0.86775,0.43462,0.58751,0.4576,0.10151,0.0024265,0.0024265,0.0024265
155,16129,1.20252,0.42278,0.18359,0.8671,0.86206,0.86302,0.42887,0.59849,0.45702,0.10241,0.002377,0.002377,0.002377
156,16229.7,0.69585,0.47893,0.09256,0.86681,0.86302,0.86274,0.433,0.59385,0.45569,0.10187,0.0023275,0.0023275,0.0023275
157,16329.8,0.69277,0.47028,0.09492,0.8672,0.86421,0.86334,0.43276,0.59336,0.4558,0.10178,0.002278,0.002278,0.002278
158,16428.2,0.8849,0.46858,0.13121,0.86818,0.86354,0.86302,0.42582,0.59975,0.45676,0.10227,0.0022285,0.0022285,0.0022285
159,16527.3,0.84505,0.4673,0.11161,0.86573,0.85659,0.85694,0.41039,0.61873,0.45738,0.10393,0.002179,0.002179,0.002179
160,16626.1,0.79385,0.48686,0.10987,0.86159,0.84459,0.84843,0.38937,0.64317,0.45954,0.10612,0.0021295,0.0021295,0.0021295
161,16726.3,0.95428,0.46992,0.1262,0.86123,0.83921,0.84516,0.3797,0.6531,0.46054,0.107,0.00208,0.00208,0.00208
162,16826.4,0.84755,0.49318,0.12087,0.85959,0.83809,0.84425,0.37026,0.66181,0.46264,0.10783,0.0020305,0.0020305,0.0020305
163,16927.2,0.60696,0.4593,0.08163,0.85802,0.83579,0.84215,0.36545,0.66732,0.46365,0.10841,0.001981,0.001981,0.001981
164,17029.1,0.54304,0.4517,0.07434,0.86133,0.84093,0.8462,0.36681,0.66537,0.46415,0.10827,0.0019315,0.0019315,0.0019315
165,17128.6,0.48256,0.43674,0.07097,0.86248,0.84595,0.85163,0.37061,0.66121,0.46418,0.10789,0.001882,0.001882,0.001882
166,17228.1,0.45954,0.44338,0.07046,0.86527,0.84829,0.85592,0.37432,0.65585,0.46522,0.10738,0.0018325,0.0018325,0.0018325
167,17328,0.47392,0.43426,0.07005,0.8663,0.85347,0.859,0.3785,0.65102,0.46559,0.10689,0.001783,0.001783,0.001783
168,17427.9,0.4505,0.4309,0.06714,0.86665,0.85516,0.86095,0.38118,0.64777,0.46619,0.10657,0.0017335,0.0017335,0.0017335
169,17529.2,0.43478,0.42561,0.06595,0.86685,0.85673,0.86335,0.38392,0.64401,0.46698,0.10621,0.001684,0.001684,0.001684
170,17629.4,0.42639,0.42247,0.06588,0.86644,0.85902,0.8653,0.38683,0.64035,0.46698,0.1059,0.0016345,0.0016345,0.0016345
