epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,4278.69,1.32844,1.26151,1.09816,0.82688,0.78891,0.83917,0.49507,1.43671,0.80365,1.15129,0.0040105,0.0040105,0.0040105
123,4314.25,1.32217,1.28923,1.08628,0.83182,0.78316,0.84055,0.49752,1.4282,0.80785,1.14853,0.003961,0.003961,0.003961
124,4349.58,1.3436,1.31988,1.09473,0.81717,0.79293,0.83886,0.49379,1.42947,0.80753,1.14962,0.0039115,0.0039115,0.0039115
125,4384.43,1.28538,1.25573,1.07596,0.81608,0.78658,0.83278,0.49021,1.4286,0.80743,1.14914,0.003862,0.003862,0.003862
126,4419.25,1.31907,1.27208,1.08294,0.81506,0.79801,0.83221,0.49092,1.42311,0.80398,1.14649,0.0038125,0.0038125,0.0038125
127,4454.17,1.34093,1.27888,1.09993,0.81076,0.80445,0.8354,0.49311,1.42639,0.80399,1.14761,0.003763,0.003763,0.003763
128,4488.53,1.29082,1.24407,1.07643,0.81459,0.79783,0.83345,0.49029,1.42815,0.80436,1.1486,0.0037135,0.0037135,0.0037135
129,4523.08,1.31465,1.27249,1.08817,0.80906,0.80303,0.83535,0.49252,1.42758,0.80302,1.14803,0.003664,0.003664,0.003664
130,4557.59,1.31823,1.23077,1.08051,0.8231,0.79535,0.83865,0.4948,1.42663,0.79808,1.14661,0.0036145,0.0036145,0.0036145
131,4592.54,1.31278,1.23964,1.09015,0.81535,0.80033,0.83311,0.49051,1.42837,0.80248,1.14842,0.003565,0.003565,0.003565
132,4627.34,1.32627,1.28643,1.09426,0.82743,0.80041,0.83542,0.49045,1.42805,0.80195,1.1493,0.0035155,0.0035155,0.0035155
133,4661.96,1.31549,1.25992,1.094,0.81948,0.79804,0.83651,0.49436,1.42382,0.79964,1.14768,0.003466,0.003466,0.003466
134,4696.26,1.2975,1.27225,1.08531,0.81546,0.80322,0.83767,0.49293,1.423,0.80175,1.1482,0.0034165,0.0034165,0.0034165
135,4730.78,1.2775,1.22699,1.06969,0.8179,0.79779,0.83805,0.49214,1.42361,0.79754,1.14956,0.003367,0.003367,0.003367
136,4765.36,1.29523,1.2419,1.07813,0.81317,0.80193,0.84297,0.49352,1.42038,0.79208,1.14755,0.0033175,0.0033175,0.0033175
137,4799.86,1.29048,1.25248,1.07955,0.82369,0.79632,0.84485,0.49573,1.42325,0.79312,1.1492,0.003268,0.003268,0.003268
138,4834.67,1.3161,1.26123,1.08312,0.82641,0.79738,0.84391,0.49551,1.41845,0.78878,1.14787,0.0032185,0.0032185,0.0032185
139,4869.6,1.29708,1.23907,1.07895,0.82534,0.7988,0.84191,0.49422,1.41865,0.79025,1.14701,0.003169,0.003169,0.003169
140,4904.34,1.29997,1.23483,1.09015,0.82277,0.80273,0.84131,0.4972,1.41768,0.78812,1.14702,0.0031195,0.0031195,0.0031195
141,4939.2,1.32519,1.25621,1.09368,0.81946,0.80406,0.84133,0.49716,1.41905,0.78759,1.14737,0.00307,0.00307,0.00307
142,4974.19,1.30301,1.2454,1.07527,0.81264,0.80956,0.84425,0.49743,1.41741,0.78759,1.14645,0.0030205,0.0030205,0.0030205
143,5008.75,1.26291,1.19743,1.06782,0.82747,0.80107,0.84363,0.49884,1.41508,0.78775,1.14598,0.002971,0.002971,0.002971
144,5043.91,1.26352,1.22641,1.05766,0.81851,0.8072,0.84206,0.49699,1.41431,0.79011,1.14652,0.0029215,0.0029215,0.0029215
145,5078.28,1.27083,1.19802,1.0653,0.81262,0.81073,0.84002,0.49681,1.41375,0.79051,1.14651,0.002872,0.002872,0.002872
146,5112.88,1.32584,1.27807,1.09759,0.81666,0.81078,0.84004,0.49858,1.41389,0.79044,1.14634,0.0028225,0.0028225,0.0028225
147,5147.5,1.29624,1.23674,1.07954,0.81301,0.81359,0.83982,0.49809,1.41187,0.7917,1.14551,0.002773,0.002773,0.002773
148,5182.24,1.26114,1.17275,1.06826,0.81777,0.8112,0.84009,0.49797,1.41155,0.79086,1.14515,0.0027235,0.0027235,0.0027235
149,5217.08,1.27122,1.23583,1.07227,0.82012,0.81214,0.84078,0.49771,1.41004,0.78877,1.14487,0.002674,0.002674,0.002674
