                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 0.6636,                0.32803,                0.87443,                0.93696,                0.94235,                0.96358,                0.74475,                0.88679,                0.39545,                0.97566,               0.001354,               0.001354,               0.001354
                    133,                0.65897,                0.32722,                0.87384,                0.93744,                0.94253,                0.96357,                0.74484,                 0.8866,                0.39553,                0.97558,               0.001288,               0.001288,               0.001288
                    134,                0.65617,                0.32785,                 0.8738,                0.93686,                0.94244,                0.96372,                0.74532,                0.88566,                0.39512,                0.97541,               0.001222,               0.001222,               0.001222
                    135,                0.65242,                0.32588,                0.87169,                0.93723,                0.94238,                0.96348,                0.74588,                0.88513,                0.39497,                0.97547,               0.001156,               0.001156,               0.001156
                    136,                 0.6462,                0.32205,                0.86847,                0.93764,                 0.9426,                0.96373,                0.74602,                0.88507,                0.39464,                0.97565,                0.00109,                0.00109,                0.00109
                    137,                0.64423,                0.32239,                0.87174,                0.93729,                0.94239,                 0.9637,                0.74632,                0.88416,                0.39422,                0.97548,               0.001024,               0.001024,               0.001024
                    138,                0.63618,                0.31915,                0.86722,                0.93741,                0.94257,                0.96391,                0.74659,                0.88351,                 0.3942,                0.97522,               0.000958,               0.000958,               0.000958
                    139,                 0.6387,                 0.3201,                0.86565,                0.93751,                  0.942,                0.96393,                0.74667,                0.88315,                0.39389,                0.97518,               0.000892,               0.000892,               0.000892
                    140,                0.63261,                0.31394,                0.86297,                0.93762,                0.94188,                0.96399,                0.74702,                0.88217,                0.39384,                0.97494,               0.000826,               0.000826,               0.000826
                    141,                0.59035,                0.29232,                0.85803,                0.93692,                0.94266,                0.96402,                0.74706,                0.88164,                0.39383,                0.97488,                0.00076,                0.00076,                0.00076
                    142,                0.57733,                0.28438,                0.85397,                0.93652,                0.94322,                0.96419,                0.74727,                0.88045,                0.39342,                0.97457,               0.000694,               0.000694,               0.000694
                    143,                0.57582,                 0.2853,                0.85283,                  0.933,                 0.9462,                0.96391,                 0.7479,                0.87994,                0.39315,                0.97457,               0.000628,               0.000628,               0.000628
                    144,                0.56745,                0.27967,                0.85423,                0.92955,                0.95051,                0.96404,                 0.7483,                0.87958,                0.39291,                0.97441,               0.000562,               0.000562,               0.000562
                    145,                 0.5696,                0.28021,                0.85388,                0.93178,                0.94855,                0.96393,                0.74846,                0.87876,                0.39286,                0.97433,               0.000496,               0.000496,               0.000496
                    146,                0.56102,                0.27915,                0.85357,                 0.9304,                0.94941,                0.96406,                0.74827,                0.87914,                0.39302,                0.97463,                0.00043,                0.00043,                0.00043
                    147,                0.55422,                0.27605,                0.85061,                0.93061,                0.94883,                0.96389,                0.74833,                 0.8795,                0.39348,                0.97488,               0.000364,               0.000364,               0.000364
                    148,                0.56098,                0.27562,                0.85222,                 0.9307,                0.94838,                 0.9638,                0.74813,                0.87961,                0.39348,                0.97507,               0.000298,               0.000298,               0.000298
                    149,                0.54844,                0.27689,                 0.8467,                 0.9323,                  0.948,                0.96378,                0.74864,                0.87975,                0.39368,                0.97529,               0.000232,               0.000232,               0.000232
                    150,                0.54981,                0.27108,                0.84738,                0.93301,                0.94749,                0.96375,                0.74875,                0.88006,                0.39401,                 0.9755,               0.000166,               0.000166,               0.000166
